//id -> lv -> resource -> number of resouce -> number of screw -> number of certain screw
// 2	12.7cm連装砲
2A	0-5		0	1	2
2A	6-9	12.7cm連装砲	1	1	2
2A	max	12.7cm連装砲	2	3	6

// 63	12.7cm連装砲B型改二
63A	0-5		0	2	3
63A	6-9	12.7cm連装砲B型改二	1	2	4
63A	max	12.7cm連装砲	3	4	7

// 266	12.7cm連装砲C型改二
266A	0-5	12.7cm連装砲	1	2	3
266A	6-9	12.7cm連装砲B型改二	1	3	4
266A	max	新資材x1 詳報x1 22号対水上電探	2	4	8

// 267	12.7cm連装砲D型改二
267A	0-5	10cm連装高角砲	2	5	6
267A	6-9	12.7cm連装砲C型改二	1	6	9
267A	max		0	0	0

// 122	10cm高角砲＋高射装置
122A	0-5		0	3	4
122A	6-9	10cm連装高角砲	2	4	7
122A	max		0	0	0

// 280	QF 4.7inch砲 Mk.XII改
280A	0-5	12.7cm連装砲	2	4	5
280A	6-9	12.7cm連装砲B型改二	2	6	7
280A	max		0	0	0

// 282	130mm B-13連装砲
282A	0-5	12.7cm連装砲	3	5	6
282A	6-9	14cm単装砲	4	7	-1
282A	max		0	0	0

// 4	14cm単装砲
4A	0-5		0	1	2
4A	6-9	14cm単装砲	1	1	2
4A	max	14cm単装砲	2	3	6

// 119	14cm連装砲
119A	0-5		0	1	2
119A	6-9	14cm連装砲	1	2	3
119A	max		0	0	0

// 65	15.2cm連装砲
65A	0-5		0	2	3
65A	6-9	15.2cm連装砲	1	2	4
65A	max	22号対水上電探	1	4	10

// 139	15.2cm連装砲改
139A	0-5	15.2cm連装砲	1	2	3
139A	6-9	15.2cm連装砲	1	3	6
139A	max		0	0	0

// 5	15.5cm三連装砲
5A	0-5		0	2	3
5A	6-9	15.5cm三連装砲	1	2	4
5A	max		0	0	0

5B	0-5		0	2	3
5B	6-9	15.5cm三連装砲	1	2	4
5B	max	新型資材x1　15.5cm三連装砲改	2	4	8

// 235	15.5cm三連装砲改
235A	0-5	15.5cm三連装砲	2	4	5
235A	6-9	15.5cm三連装副砲	2	5	7
235A	max	15.5cm三連装副砲	1	2	3

// 6	20.3cm連装砲
6A	0-5		0	2	3
6A	6-9	20.3cm連装砲	1	2	3
6A	max	20.3cm連装砲	2	4	10

// 90	20.3cm(2号)連装砲
90A	0-5		0	2	3
90A	6-9	20.3cm(2号)連装砲	1	2	4
90A	max	20.3cm(2号)連装砲	1	4	11

// 50	20.3cm(3号)連装砲
50A	0-5		0	2	3
50A	6-9	20.3cm(3号)連装砲	1	3	5
50A	max		0	0	0

// 162	203mm／53 連装砲
162A	0-5	20.3cm連装砲	2	3	4
162A	6-9	20.3cm(2号)連装砲	1	4	7
162A	max		0	0	0

// 7	35.6cm連装砲
7A	0-5		0	1	2
7A	6-9	35.6cm連装砲	1	2	4
7A	max	35.6cm連装砲	3	5	12

// 76	38cm連装砲
76A	0-5	35.6cm連装砲	1	2	3
76A	6-9	35.6cm連装砲	2	3	5
76A	max	41cm連装砲	2	6	13

// 試製35.6cm三連装砲
103A	0-5	35.6cm連装砲	2	3	4
103A	6-9	35.6cm連装砲	3	4	7
103A	max		0	0	0

// 35.6cm連装砲(ダズル迷彩)
104A	0-5	35.6cm連装砲	1	2	3
104A	6-9	35.6cm連装砲	2	3	5
104A	max		0	0	0

// 38.1cm Mk.I連装砲
190A	0-5	35.6cm連装砲	2	3	4
190A	6-9	41cm連装砲	2	3	5
190A	max	25mm単装機銃	2	8	12

// 38.1cm Mk.I/N連装砲改
192A	0-5	41cm連装砲	1	3	5
192A	6-9	41cm連装砲	2	4	7
192A	max		0	0	0

// 114	38cm連装砲改
114A	0-5	41cm連装砲	1	3	4
114A	6-9	41cm連装砲	2	4	6
114A	max		0	0	0

// 133	381mm/50 三連装砲
133A	0-5	35.6cm連装砲	1	2	3
133A	6-9	35.6cm連装砲	2	3	5
133A	max	25mm連装機銃	2	7	14

// 137	381mm/50 三連装砲改
137A	0-5	41cm連装砲	1	3	4
137A	6-9	41cm連装砲	2	4	6
137A	max		0	0	0

// 8	41cm連装砲
8A	0-5	41cm連装砲	1	2	3
8A	6-9	41cm連装砲	2	3	6
8A	max	新型資材x2　46cm三連装砲	2	10	15

// 試製41cm三連装砲
105A	0-5	41cm連装砲	2	4	6
105A	6-9	41cm連装砲	3	5	8
105A	max	新型資材x2　46cm三連装砲	2	12	16

// 41cm三連装砲改
236A	0-5	41cm連装砲	2	6	7
236A	6-9	46cm三連装砲	2	7	10
236A	max		0	0	0

// 161	16inch三連装砲 Mk.7
161A	0-5	41cm連装砲	3	6	8
161A	6-9	46cm三連装砲	3	8	12
161A	max	32号対水上電探	2	12	20

// 183	16inch三連装砲 Mk.7+GFCS
183A	0-5	22号対水上電探	2	8	12
183A	6-9	32号対水上電探	2	8	16
183A	max		0	0	0

// 117	試製46cm連装砲
117A	0-5	41cm連装砲	2	3	5
117A	6-9	41cm連装砲	3	4	7
117A	max	41cm連装砲	4	8	14

// 9	46cm三連装砲
9A	0-5	46cm三連装砲	1	4	6
9A	6-9	46cm三連装砲	2	5	8
9A	max		0	0	0

// 128	試製51cm連装砲
128A	0-5	46cm三連装砲	2	5	7
128A	6-9	46cm三連装砲	3	7	10
128A	max		0	0	0

// 281	51cm連装砲
281A	0-5	41cm連装砲	4	7	8
281A	6-9	46cm三連装砲	4	10	13
281A	max		0	0	0

// 135	90mm単装高角砲
135A	0-5	10cm連装高角砲	1	1	2
135A	6-9	10cm連装高角砲	2	1	2
135A	max		0	0	0

// 11	15.2cm単装砲
11A	0-5		0	1	2
11A	6-9	15.2cm単装砲	1	2	3
11A	max	15.2cm単装砲	2	3	5

// 12 15.5cm三連装副砲
12A	0-5		0	2	3
12A	6-9	15.5cm三連装副砲	1	2	4
12A	max	新型資材x1　15.5cm三連装副砲	2	4	8

// 234	15.5cm三連装副砲改
234A	0-5		2	4	5
234A	6-9	15.5cm三連装砲	2	5	7
234A	max	15.5cm三連装砲	1	2	3

// 134	OTO 152mm三連装速射砲
134A	0-5		0	2	3
134A	6-9	15.5cm三連装砲	1	3	5
134A	max		0	0	0

// 247 15.2cm三連装砲
247A	0-5	15.5cm三連装副砲	1	6	6
247A	6-9	22号対水上電探	2	7	8
247A	max		0	0	0

// 10	12.7cm連装高角砲
10A	0-5	12.7cm連装高角砲	1	2	3
10A	6-9	12.7cm連装高角砲	1	3	4
10A	max	10cm連装高角砲	1	6	10

// 66	8cm高角砲
66A	0-5	10cm連装高角砲	1	3	3
66A	6-9	10cm連装高角砲	2	4	5
66A	max		0	0	0

66B	0-5	10cm連装高角砲	1	3	3
66B	6-9	10cm連装高角砲	2	4	5
66B	max	25mm単装機銃	2	8	12

// 220	8cm高角砲改＋増設機銃
220A	0-5	10cm連装高角砲	2	5	4
220A	6-9	 不明	2	6	8
220A	max		0	0	0

// 275	10cm連装高角砲改＋増設機銃
275A	0-5	10cm連装高角砲	2	4	5
275A	6-9	25mm三連装機銃	2	-1	-1
275A	max		0	0	0

// 174	53cm連装魚雷
174A	0-5	61cm三連装魚雷	1	1	1
174A	6-9	61cm四連装(酸素)魚雷	1	2	3
174A	max		0	0	0

// 13	61cm三連装魚雷
13A	0-5		0	1	1
13A	6-9	61cm三連装魚雷	1	1	2
13A	max	61cm三連装魚雷	2	2	4

// 125	61cm三連装(酸素)魚雷
125A	0-5		0	1	1
125A	6-9	61cm三連装魚雷	1	1	3
125A	max	61cm四連装魚雷	2	3	6

// 14	61cm四連装魚雷
14A	0-5		0	1	2
14A	6-9	61cm四連装魚雷	1	1	2
14A	max	61cm四連装魚雷	2	3	6

// 15	61cm四連装(酸素)魚雷
15A	0-5		0	1	2
15A	6-9	61cm四連装(酸素)魚雷	1	2	4
15A	max	61cm四連装(酸素)魚雷	3	5	11

// 58	61cm五連装(酸素)魚雷
58A	0-5		0	3	5
58A	6-9	61cm五連装(酸素)魚雷	1	3	7
58A	max		0	0	0
